clusters_ 1,clusters_ 2,clusters_ 3,clusters_ 4,clusters_ 5,clusters_ 6,clusters_ 7,clusters_ 8,clusters_ 9,clusters_10,clusters_11,clusters_12,clusters_13,clusters_14,clusters_15,clusters_16,clusters_17,clusters_18,clusters_19,clusters_20,clusters_21,clusters_22,clusters_23,clusters_24,clusters_25,clusters_26,clusters_27,clusters_28,clusters_29,clusters_30,clusters_31,clusters_32,clusters_33,clusters_34,clusters_35,clusters_36,clusters_37,clusters_38,clusters_39,clusters_40,clusters_41,clusters_42,clusters_43,clusters_44,clusters_45,clusters_46,clusters_47,clusters_48,clusters_49,clusters_50,clusters_51,clusters_52,clusters_53,clusters_54,clusters_55,clusters_56,clusters_57,clusters_58,clusters_59,clusters_60
39,54,57,92,95,98,181,186,196,210,247,275,286,367,434,470,483,522,524,529,539,544,546,635,647,706,722,757,772,773,802,818,823,844,851,906,976,982,988,999,1005,1023,1031,1101,1102,1148,1163,1175,1191,1198,1212,1238,1253,1268,1270,1271,1275,1281,1286,1305
40,44,109,153,171,199,289,364,383,385,425,436,467,510,523,576,577,653,695,699,734,767,797,836,843,876,902,905,918,1035,1038,1064,1250,1267,1273,1302,,,,,,,,,,,,,,,,,,,,,,,,
42,307,308,671,673,726,881,911,919,923,970,1063,1144,1260,1285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,68,152,207,233,237,268,342,344,392,418,444,516,519,568,572,666,813,1004,1090,1154,1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,60,101,108,130,257,306,330,355,403,452,459,471,599,672,774,809,830,861,877,973,1077,1141,1161,1167,1182,1259,1303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,136,138,214,270,304,359,406,504,543,589,592,610,683,690,693,696,710,789,793,801,900,907,986,1024,1026,1055,1173,1252,1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,200,295,538,602,1009,1244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,121,356,412,527,607,714,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,84,213,240,613,1107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,103,182,335,593,645,990,1183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,751,854,879,889,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,70,159,255,372,537,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,137,202,225,258,282,314,368,390,400,650,828,959,1066,1277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,234,395,496,930,950,1043,1058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,313,441,528,866,890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,82,140,142,158,277,294,437,443,474,478,616,629,655,735,827,856,895,1054,1091,1094,1122,1165,1214,1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,422,430,839,857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,89,132,239,461,480,657,891,1199,1308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,122,195,288,401,687,805,1036,1115,1126,1136,1140,1150,1222,1226,1292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,143,253,266,462,507,514,515,771,781,934,954,995,1127,1217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,232,265,644,709,729,873,953,1074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,139,164,175,252,256,387,450,490,491,505,534,550,571,597,707,712,719,721,756,776,806,910,931,932,1013,1016,1142,1155,1239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,311,350,358,448,559,822,1032,1118,1121,1216,1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,144,271,433,447,829,912,1051,1132,1294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,166,280,379,431,530,662,758,849,858,1002,1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,124,127,183,259,276,293,363,711,715,717,786,933,1001,1003,1193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,126,156,432,468,627,628,633,705,778,821,943,963,972,1037,1131,1169,1221,1245,1257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,198,208,212,224,241,244,251,262,296,310,391,397,415,428,488,533,622,623,684,685,686,750,833,852,909,947,980,993,1072,1084,1174,1218,1220,1262,,,,,,,,,,,,,,,,,,,,,,,,,
125,146,324,396,398,518,638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,180,261,322,349,386,485,570,586,594,660,691,824,825,903,949,1236,1310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,250,319,340,388,503,553,634,739,831,965,1083,1145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,365,790,842,1187,1235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,227,323,382,393,606,659,674,679,725,760,812,874,885,938,951,1147,1232,1248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,189,590,730,922,1018,1138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,309,409,547,1111,1156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,641,1153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,179,303,327,558,700,740,872,897,921,1014,1069,1241,1246,1264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,176,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,246,328,366,413,426,440,454,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,321,651,765,1098,1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,278,347,615,1085,1086,1130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,194,338,649,733,762,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,549,619,676,987,1076,1179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,936,1020,1103,1168,1189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,554,573,747,834,946,975,1015,1093,1113,1170,1204,1209,1272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,287,377,417,479,1128,1231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,374,668,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,264,449,484,752,853,1000,1044,1079,1082,1149,1269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,260,305,399,968,1092,1164,1197,1227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,404,509,819,1087,1255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,380,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,334,1049,1124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,336,560,775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,511,761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,556,646,795,862,882,887,961,1042,1146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,442,562,587,904,1053,1185,1215,1256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,419,489,630,723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,625,1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,337,408,453,463,770,784,966,1029,1106,1265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,373,609,799,808,820,883,1284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,416,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,702,886,979,1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,875,1012,1176,1207,1288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,682,867,945,978,1050,1052,1224,1304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,835,935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,506,618,1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,495,512,969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,639,728,1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,536,736,1010,1233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,1123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,787,859,863,1181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,810,964,1116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,788,1112,1258,1261,1296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,1011,1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,1159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,1295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,1279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
